User_ID,Experience_Level,Course_Type,Platform,Hours_Spent_Per_Week,Course_Duration_Weeks,Completion_Status,Completion_Percentage,Dropout_Reason,Satisfaction_Score
U0001,Fresher,Tech,Skillshare,0.9864789747542144,-0.8085726701412626,Completed,0.6130718086779818,No Dropout,-0.7131844251622036
U0002,Fresher,Non-Tech,edX,1.167817021584033,1.3451597084694062,Dropped,-0.46314383609571497,Time Constraint,-0.015352306608188251
U0003,Fresher,Non-Tech,Coursera,1.5304931152436707,1.1913216814257872,In Progress,-0.2775894145830087,No Dropout,-1.4110165437162188
U0004,Student,Non-Tech,Udemy,0.6238028810945768,-1.731600832402978,Dropped,-1.3538050593567057,Time Constraint,-1.4110165437162188
U0005,Student,Non-Tech,Skillshare,-0.46422539988433614,-0.5008966160540242,Dropped,-1.5764703651719532,Too Difficult,0.682479811945827
U0006,Working Professional,Tech,Coursera,0.07978874060512021,-0.3470585890104049,In Progress,0.09351942844240398,No Dropout,0.682479811945827
U0007,Working Professional,Tech,YouTube,0.26112678743493917,0.8836456273385487,Dropped,-0.6115873733058801,Too Difficult,0.682479811945827
U0008,Fresher,Tech,Skillshare,-1.733591727693068,0.5759695732513103,Dropped,-0.5002547203982564,Too Difficult,-1.4110165437162188
U0009,Fresher,Non-Tech,Skillshare,0.26112678743493917,0.11445549212045265,Completed,0.01929765983732137,No Dropout,-1.4110165437162188
U0010,Working Professional,Non-Tech,edX,-1.008239540373793,0.2682935191640719,Completed,1.763509222056761,No Dropout,-1.4110165437162188
U0011,Student,Tech,Skillshare,0.44246483426475797,1.0374836543821677,In Progress,0.7615153458881468,No Dropout,1.380311930499842
U0012,Student,Non-Tech,edX,-0.8269014935439738,-1.5777628053593586,In Progress,-0.6115873733058801,No Dropout,-0.015352306608188251
U0013,Fresher,Tech,Coursera,1.5304931152436707,-1.2700867512721201,Dropped,-0.8713635634236689,Time Constraint,-0.015352306608188251
U0014,Working Professional,Non-Tech,edX,0.9864789747542144,-1.2700867512721201,In Progress,1.058402420308477,No Dropout,-0.7131844251622036
U0015,Fresher,Tech,Skillshare,-1.5522536808632492,0.2682935191640719,In Progress,-0.5002547203982564,No Dropout,-0.7131844251622036
U0016,Fresher,Tech,Udemy,1.7118311620734896,0.11445549212045265,Dropped,-0.8713635634236689,Too Difficult,-0.7131844251622036
U0017,Working Professional,Tech,Udemy,0.26112678743493917,0.2682935191640719,Dropped,-1.1682506378439994,Too Difficult,-1.4110165437162188
U0018,Working Professional,Tech,Udemy,-0.645563446714155,1.0374836543821677,Completed,-0.46314383609571497,No Dropout,0.682479811945827
U0019,Working Professional,Non-Tech,Coursera,-0.645563446714155,0.4221315462076911,Completed,0.09351942844240398,No Dropout,-1.4110165437162188
U0020,Working Professional,Non-Tech,YouTube,0.9864789747542144,-0.5008966160540242,Dropped,-0.5373656047007976,Time Constraint,-0.015352306608188251
U0021,Student,Non-Tech,Skillshare,-0.46422539988433614,-0.3470585890104049,Completed,-0.2775894145830087,No Dropout,-0.015352306608188251
U0022,Student,Tech,Skillshare,-1.733591727693068,-0.9624106971848817,Completed,1.1697350732161007,No Dropout,0.682479811945827
U0023,Working Professional,Non-Tech,Udemy,0.07978874060512021,-0.6547346430976434,In Progress,-0.7229200262135039,No Dropout,1.380311930499842
U0024,Student,Tech,YouTube,-0.645563446714155,0.4221315462076911,Completed,-0.20336764597792617,No Dropout,1.380311930499842
U0025,Fresher,Tech,edX,1.349155068413852,0.2682935191640719,Completed,-0.42603295179317374,No Dropout,-0.015352306608188251
U0026,Fresher,Non-Tech,YouTube,-1.3709156340334305,-1.2700867512721201,Completed,0.5759609243754406,No Dropout,0.682479811945827
U0027,Fresher,Tech,Coursera,-0.8269014935439738,0.2682935191640719,Dropped,-1.6135812494744946,Lost Interest,-0.7131844251622036
U0028,Fresher,Non-Tech,Udemy,1.167817021584033,0.5759695732513103,In Progress,1.3181786104262658,No Dropout,-1.4110165437162188
U0029,Fresher,Non-Tech,YouTube,0.26112678743493917,0.8836456273385487,Dropped,-0.5744764890033389,No Dropout,1.380311930499842
U0030,Student,Non-Tech,Skillshare,1.7118311620734896,1.0374836543821677,Completed,0.46462827146781666,No Dropout,-1.4110165437162188
U0031,Working Professional,Tech,Udemy,0.44246483426475797,-1.2700867512721201,In Progress,0.6501826929805231,No Dropout,-0.015352306608188251
U0032,Fresher,Tech,edX,0.26112678743493917,0.11445549212045265,In Progress,-0.05492410876776104,No Dropout,0.682479811945827
U0033,Fresher,Tech,edX,1.349155068413852,0.4221315462076911,In Progress,1.6521765691491372,No Dropout,-1.4110165437162188
U0034,Working Professional,Non-Tech,Skillshare,-1.008239540373793,0.11445549212045265,Dropped,-1.5764703651719532,Too Difficult,-0.015352306608188251
U0035,Fresher,Tech,YouTube,0.26112678743493917,-1.4239247783157394,Dropped,-0.5744764890033389,Lost Interest,-1.4110165437162188
U0036,Fresher,Non-Tech,Skillshare,-1.1895775872036116,0.2682935191640719,Completed,1.2439568418211833,No Dropout,-0.015352306608188251
U0037,Fresher,Tech,Skillshare,-1.3709156340334305,1.1913216814257872,Completed,-0.20336764597792617,No Dropout,1.380311930499842
U0038,Student,Non-Tech,Udemy,1.167817021584033,1.6528357625566445,Dropped,-0.5002547203982564,Lost Interest,-0.7131844251622036
